,Provider Name,Complete Address,Contact No.
16,AMERICAN EYE CENTER (THE PODIUM BRANCH),LEVEL 4 THE PODIUM 12 ADB AVENUE ORTIGAS CENTER  MANDALUYONG CITY METRO MANILA,(02) 8636-0762
17,CURE & CARE MATERNITY HOSPITAL OPC (FORMERLY AMISOLA MATERNITY & GENERAL HOSPITAL),"1068 HERMOSA ST., MANUGUIT TONDO MANILA METRO MANILA",(02) 8251-2491/8252-3335
18,ANDRES SORIANO MEMORIAL HOSPITAL COOP,"P1 NATIONAL HIGHWAY, CUMAWAS, BISLIG CITY  BISLIG SURIGAO DEL SUR",(086) 853-1487 ; 853-3124 ; 853-3125 ; 645-5668
19,"ANGELES MEDICAL CENTER, INC",641 RIZAL ST.  ANGELES CITY PAMPANGA,(045) 322-4632/(045) 323-5452/(045) 888-7150
20,ANGELES UNIVERSITY FOUNDATION (AUF) MEDICAL CENTER,MCARTHUR HIGHWAY  ANGELES CITY PAMPANGA,(045) 626-2054/(045) 625-2999
21,APALIT DOCTORS HOSPITAL INC,GONZALES AVENUE BRGY. SAN JUAN APALIT PAMPANGA,(045) 652-0030
22,"APEX DIAGNOSTICS, CORP","UNIT 5 & 6 MEGATHON BLDG., L. SUMULONG, MEMORIAL CIRCLE BRGY. SAN ROQUE ANTIPOLO CITY RIZAL",(02) 8696-4448 TO 49
23,APPLIED DIAGNOSTIC ULTRASOUND INC.,"DELOS SANTOS MEDICAL CENTER, 201 E. RODRIGUEZ SR. BLVD. BRGY. KALUSUGAN QUEZON CITY METRO MANILA",(02) 723-0041
24,UNIVERSITY OF SANTO TOMAS - LEGAZPI INC. (FORMERLY AQUINAS UNIVERSITY HOSPITAL),F. AQUENDE DRIVE BRGY. 8 LEGAZPI CITY ALBAY,(0917) 626-3465
25,ARDI HEALTH CENTER (MALINAO BRANCH),157 RAMON JABSON ST. BRGY. MALINAO PASIG CITY METRO MANILA,(02) 7719-2213/7719-2218
26,ARDI HEALTH CENTER (MERCEDES-SAN MIGUEL BRANCH),248 MERCEDES AVE. COR M. SUAREZ ST. BRGY. SAN MIGUEL PASIG CITY METRO MANILA,(02) 8628-4097/8640-3679
27,ARNAIZ HOSPITAL CORPORATION,F.P. FELIX AVENUE BRGY. SAN ISIDRO CAINTA RIZAL,(02) 8645-6042/8280-4711/8240-1977
28,ASIA MEDIC FAMILY HOSPITAL & MEDICAL CENTER,OLD PALA-PALA ROAD BRGY. SAMPALOC I DASMARIÃ‘AS CAVITE,(046) 416-1110
29,CENTER FOR VISUAL RESTORATION AND PRESERVATION INC. (FORMERLY ASIA PACIFIC EYE CENTER - BINAN),"5TH FLOOR, APMWC TOWER, ONE ASIA BUSINESS CENTER JUBILATION BRGY. STO. NINO BINAN LAGUNA",(02) 782-4147/(049) 576-1292 / (02) 899-5406
30,CENTER FOR VISUAL RESTORATION AND PRESERVATION INC. (FORMERLY ASIA PACIFIC EYE CENTER - SAN PEDRO),"PALCOR BUILDING, NATIONAL HIGHWAY BRGY. NUEVA SAN PEDRO LAGUNA",(02) 553-6770
31,ASIA PACIFIC MEDICAL AND DIAGNOSTIC SERVICES,3RD FLR. ALSCOPHIL BLDG. 2053 EDISON COR FARADAY ST. BRGY. SAN ISIDRO MAKATI CITY METRO MANILA,(02) 7358-8680
32,ASIA RENAL CARE (PHILS) INC.,174 MP YAP CORNER M ROA STREETS BRGY. CAPITOL SITE CEBU CITY CEBU,(032) 255-5638
33,ASIAN HOSPITAL & MEDICAL CENTER,"2205 CIVIC DRIVE, FILINVEST CORPORATE CITY ALABANG MUNTINLUPA METRO MANILA",(02) 8771-9000
34,"ASSOCIATED DOCTORS CLINIC OF SAN PEDRO, INC","MADISON SQUARE, NATIONAL HIGHWAY BRGY. LANDAYAN SAN PEDRO LAGUNA",(02) 8868-8734 / 8808-3908
35,BABOL GENERAL HOSPITAL,252 MAGSAYSAY ST. BRGY. POBLACION MATALAM COTABATO,(064) 392-1204
36,"BACALTOS X-RAY, ULTRASOUND AND LABORATORY",KM. 5 J P LAUREL AVENUE BRGY. BAJADA DAVAO CITY DAVAO DEL SUR,(082) 221-4416
37,BACOLOD ADVENTIST MEDICAL CENTER,CV RAMOS AVENUE BRGY. TACULING BACOLOD CITY NEGROS OCCIDENTAL,(034) 433-4831 TO 85/(034) 422-4836
38,BACOLOD DIAGNOSTIC CENTER,"21ST STREET, MEDICAL LANE, B. S. AQUINO DRIVE B BRGY. 5 BACOLOD CITY NEGROS OCCIDENTAL",(034) 434-9002
39,BALIBAGO POLYCLINIC & HOSPITAL,PROVINCIAL ROAD BRGY. BALIBAGO SANTA ROSA CITY LAGUNA,(049) 534-1591/(049) 837-2879
40,BANGUED CHRISTIAN HOSPITAL,TORRIJOS ST.  BANGUED ABRA,(074) 752-8544 / (074) 752-8503
41,"BATAAN DOCTORS HOSPITAL AND MEDICAL CENTER, INC.","DONA FRANCISCA SUBDIVISION, CUADERNO ST.  BALANGA CITY BATAAN",(047) 237-3378 / 237-2050 / 237-0307
42,BATANGAS HEALTH CARE HOSPITAL JESUS OF NAZARETH,D SILANG ST. BRGY. GULOD ITAAS BATANGAS CITY BATANGAS,(043) 723-4144 / 723-6738 / 300-3077
43,BAUTISTA HOSPITAL,375 P. BURGOS AVE. BRGY. CARIDAD CAVITE CITY CAVITE,(046) 431-0416 / 431-0330
44,BENGUET LABORATORIES - BAGUIO CITY,4A & B01 SM BAGUIO CYBERZONE BUILDING UPPER HARRISON ROAD  BAGUIO CITY BENGUET,(074) 620-5828
45,BERNARDINO GENERAL HOSPITAL,"680 QUIRINO HIGHWAY, NOVALICHES BRGY. SAN BARTOLOME QUEZON CITY METRO MANILA",(02) 8936-6050 / 8935-5264 / 8937-1180
46,BERNARDINO GENERAL HOSPITAL II,"BLOCK 1 LOT 2, NORTH OLYMPUS SUBDIVISION, KALIGAYAHAN  QUEZON CITY METRO MANILA",(02) 8419-1130 / 8935-5262
47,BERNARDO-LACANILAO CLINICAL LABORATORY,"BERNARDO BUILDING A, PICHON STREET  DAVAO CITY DAVAO DEL SUR",(082) 298-2581
48,BEST HEALTH MEDICAL CLINIC AND DIAGNOSTIC CENTER,2 CLARO M RECTO AVE  LIPA CITY BATANGAS,(043) 756-5720/(043) 756-0189
49,"BETHANY HOSPITAL, INC.",WIDDOES ST.  SAN FERNANDO LA UNION PROVINCE,(072) 242-2868/(072) 242-0804/(072) 888-2930/(072) 888-4234
50,BETHEL BAPTIST HOSPITAL INC,FORTICH ST.  BRGY. SUMPONG MALAYBALAY CITY BUKIDNON,(088) 221-2256/(088) 813-2229/(088) 813-2708
51,BINAN DOCTORS HOSPITAL INC,BO. PLATERO  BINAN LAGUNA,(049) 511-6167 / (02) 8520-6789 / 8520-6764
52,BINONDO PHYSICAL THERAPY REHABILITATION INC.,"RM. 253 2ND FLOOR, WELLINGTON BUILDING, PLAZA LORENZO RUIZ, COR. CONDESA ST. BINONDO MANILA METRO MANILA",(02) 243-3188
53,"BMCI DIAGNOSTIC CLINIC (FORMERLY BIOMEDICS MEDICAL CLINIC, INC.)","UNITS G, H, I BODY SENSES, LEVEL 3, ROBINSONâ€™S GALLERIA, EDSA CORNER ORTIGAS AVENUE EDSA CORNER ORTIGAS AVE. QUEZON CITY METRO MANILA","(02) 215-5014, (02) 909-7275"
54,BISHOP JOSEPH REGAN MEMORIAL HOSPITAL,CHRIST THE KING ROAD  TAGUM CITY DAVAO DEL NORTE,(084) 217-3451/(084) 400-2177
55,BONGCAS HOLY CHILD HOSPITAL,"PUROK 2, SOUTH POBLACION, CAMP I  MARAMAG BUKIDNON",(088) 356-1254
56,"BONTUYAN MEDICAL HOSPITAL, INC.",B BAYAN SR. STREET  POLOMOLOK COTABATO,(083) 500-9343/(083) 225-2050
57,BORJA FAMILY HOSPITAL CORPORATION,19 GALLARES ST.  TAGBILARAN CITY BOHOL,(038) 411-3303/(038) 411-3313
58,BORONGAN DOCTOR`S HOSPITAL,REAL STREET SONGCO BORONGAN EASTERN SAMAR,(055) 261-2183/(055) 560-9132
59,BOROUGH MEDICAL CLINIC - MOA,"2ND FLOOR UNITS 2196-2198 SOUTH WING, JW DIOKNO BOULEVARD MALL OF ASIA COMPLEX PASAY CITY METRO MANILA",(02) 8556-0557 TO 58
60,BREATHE ALWAYS GOOD AIR (BAGA),J LLORENTE STREET  CEBU CITY CEBU,(032) 253-6490
61,BRENT HOSPITAL AND COLLEGES INC.,JUSTICE RT LIM BOULEVARD  ZAMBOANGA CITY ZAMBOANGA DEL SUR,(062) 991-2990/(062) 991-5358
62,BROKENSHIRE INTEGRATED HEALTH MINISTRIES INC.,"BROKENSHIRE HEIGHTS, MADAPO HILLS  DAVAO CITY DAVAO DEL SUR",(082) 221-4459/(082) 221-4456/(082) 227-5706/(082) 224-1214/(082) 222-8367
63,BMCDC HEALTHCARE INC. (MAIN),DR 2 GIMENEZ BLDG KM 5 BUHANGIN BUHANGIN DAVAO CITY DAVAO DEL SUR,(082) 233-0035
64,BUTUAN DOCTORS HOSPITAL INC,J.C. AQUINO AVE.  BUTUAN CITY AGUSAN DEL NORTE,(085) 342-7000/(085) 815-3184
65,BUTUAN HEALTHCARE CLINICS & LAB,103 MONTILLA BLVD.  BUTUAN CITY AGUSAN DEL NORTE,(085) 225-8108
66,C.H. GARCIA MEDICAL,MAYAPA ROAD  CALAMBA CITY LAGUNA,(049) 834-1785
67,"TANAUAN MEDICAL CENTER, INC. (FORMERLY C.P. REYES HOSPITAL)",A. MABINI AVE.  TANAUAN CITY BATANGAS,(043) 778-1404/(043) 405-0035/(043) 778-7224
68,CAGAYAN DE ORO MEDICAL CENTER,TIANO NACALABAN STREETS  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 856-4970/(088) 856-4730
69,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,A. VELEZ ST.  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 853-4467/(088) 856-4185/(08822) 724-914
70,"ADVENTIST HOSPITAL - SANTIAGO CITY, INC. (FORMERLY CAGAYAN VALLEY SANITARIUM AND HOSPITAL)","PUROK 5, MAHARLIKA HIWAY BRGY. MABINI SANTIAGO ISABELA PROVINCE",(078) 305-0161/(078) 305-2614/(078) 305-0130
71,CAINGLET HOSPITAL,NATIONAL HIGHWAY BRGY. SALVACION PANABO CITY DAVAO DEL NORTE,(084) 628-5222
72,CALAMBA DOCTORâ€™S HOSPITAL,KM. 49 NATIONAL HIGHWAY PARIAN  CALAMBA CITY LAGUNA,(049) 545-7371/(049) 545-7372/(049)545-2527
73,CALAMBA EYE CENTER,"2ND FLR CMC ANNEX BLDG, CROSSING  CALAMBA CITY LAGUNA",(049) 545-2566
74,"CALAMBA MEDICAL CENTER, INC",CROSSING  CALAMBA CITY LAGUNA,(049) 545-1740/(049) 545-3496/(049) 545-9162/(049) 545-2809
75,CALDERON CLINIC,QUIRINO AVENUE  GENERAL SANTOS CITY  COTABATO,(083) 552-4900
76,"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC",JUDGE TAGUINOD COR TURINGAN STS. CENTRO EAST  SANTIAGO ISABELA PROVINCE,(078) 682-8440/(078) 682-2321/(078) 682-8397/(078) 682-2320
77,CAPAS HEALTHCARE DIAGNOSTIC LABORATORY (CAPAS BRANCH),ST. JOSEPH BLDG. M.H. DEL PILAR ST. BRGY. STO. ROSARIO CAPAS TARLAC,(045) 491-7894
78,CAPAS HEALTHCARE DIAGNOSTIC LABORATORY (TARLAC BRANCH),"JUAN LUNA ST., STO. CRISTO BRGY. STO. ROSARIO TARLAC TARLAC",(045) 982-8569
79,CAPINO MEDICAL CLINIC,6 RIZAL AVENUE  SAN PABLO CITY LAGUNA,(049) 562-0889
80,CAPITOL MEDICAL CENTER,SCT. MAGBANUA COR PANAY AVE.  QUEZON CITY METRO MANILA,(02) 8372-3825
81,CAPITOL UNIVERSITY MEDICAL CENTER FOUNDATION OF CAGAYAN INC,SAN PEDRO GUSA  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(08822) 724-326/(088) 582-5536/(08822) 723-215/(08822) 712-625/(08822) 728-457
82,CARDINAL MRI CENTER,CSMC WILSON ST GREENHILLS WEST BGRY. GREEN HILLS WEST SAN JUAN METRO MANILA,(02) 8584-2410/8726-3410
83,CARDINAL SANTOS MEDICAL CENTER,"WILSON ST., GREENHILLS WEST BGRY. GREEN HILLS WEST SAN JUAN METRO MANILA",(02) 8727-0001
84,"CARE AND CURE HUB, INC.","BASMENT 2, AYALA CENTER CEBU, CEBU BUSINESS PARK  CEBU CITY CEBU",(032) 416-5899
85,CARMELITE HOSPITAL,6599 NATIONAL HIGHWAY BRGY. SAN FRANCISCO  PANABO CITY DAVAO DEL NORTE,(084) 628-5342
87,CASA MEDICA (FORMERLY MEDISERV SOUTHMALL),"UNIT 0105A LOWER GROUND FLOOR SERVICE LANE AREA, SM SOUTHMALL ALABANG LAS PIÃ‘AS CITY METRO MANILA",(02) 8806-7831 / 8806-7851
88,CASTRO MATERNITY HOSPITAL & MEDICAL CENTER INC,M. PONCE COR F. RUSTIA STS.  BALIUAG BULACAN,(044) 764-0939 / 766-1462 / 766-6026
89,CAUAYAN MEDICAL SPECIALISTS HOSPITAL,#27 BURGOS ST. DISTRICT II  CAUAYAN ISABELA PROVINCE,(078) 652-0265/(078) 652-1401/(078) 652-1434
90,"CAVITE MEDICAL CENTER, INC",MANILA-CAVITE ROAD BRGY. DALAHICAN CAVITE CITY CAVITE,(046) 431-9988
91,CAGAYAN DE ORO POLYMEDIC MEDICAL PLAZA,KAUSWAGAN HIGHWAY  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 858-5241
92,"CEBU DOCTORSâ€™ UNIVERSITY HOSPITAL, INC.","CEBU DOCTORS BLDG., OSMENA BLVD BRGY. CAPITOL SITE CEBU CITY CEBU",(032) 253-7511/(032) 412-8888
93,CEBU NORTH GENERAL HOSPITAL,"KAUSWAGAN ROAD, SAN JOSE BRGY. TALAMBAN CEBU CITY CEBU",(032) 343-7245
94,"CEBU REHABMEDICS, INC.",J LLORENTE STREET  CEBU CITY CEBU,(032) 254-4137
95,"CEBU SAGRADA CORAZON HEALTH SERVICES, INC.","RM 310 CSFF CONDO, OSMENA BLVD., P BURGOS STREET P. BURGOS STREET CEBU CITY CEBU",(032) 412-2925
96,CEBU SOUTH GENERAL HOSPITAL,NATIONAL ROAD TUYAN NAGA CEBU,(032) 272-2222
97,CEBU UROLOGIC INSTITUTE,"8TH FLOOR SPC MEDICAL SPECIALTY CENTER, PERPETUAL SUCCOUR HOSPITAL, GORORDO AVENUE  CEBU CITY CEBU",(032) 231-8416
98,CEBU VELEZ GENERAL HOSPITAL INC.,79 F RAMOS STREET BRGY. STA CRUZ CEBU CITY CEBU,(032) 253-1871/(032) 253-1872/(032) 253-1873/(032) 253-1874/(032) 253-1875/(032) 253-1876/(032) 253-1877/(032) 253-1878/(032) 253-1879
99,CEDAR SCIENTIFIC LABORATORY,HAYES EXTENSION BRGY. PINIKITAN CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 857-3017
100,CENTER FOR HEALTH SERVICES INC. (PASIG BRANCH),"19TH FLR. JMT CORPORATE CONDOMINIUM, #27 ADB AVENUE, ORTIGAS CENTER PASIG CITY METRO MANILA",(02) 8637-0562 TO 8637-0563
101,"CENTRAL LAB DIABETES WELLNESS HEART AND KIDNEYS VENTURES, INC.","3F CENTRAL LAB TOWER, E QUIRINO AVENUE., BRGY. 10-A DAVAO CITY DAVAO DEL SUR",(082) 300-5163
102,CENTRAL LUZON DOCTORS HOSPITAL,"HOSPITAL DRIVE, SAN VICENTE  TARLAC TARLAC",(045) 982-0806 / 982-1970 / 925-2534 LOC 3260
103,"CENTRALLE MEDICAL DIAGNOSTIC AND POLYCLINIC, INC (CAMARIN BRANCH)","UNITS 5-7 RDF BLDG., CAMARIN NOVALICHES QUEZON CITY METRO MANILA",(02) 334-1553/(02) 366-9068/(02) 330-1596/(02) 334-1252
104,"CENTRALLE MEDICAL DIAGNOSTIC AND POLYCLINIC, INC (CALOOCAN BRANCH)","G/F FIRST AMIJI MANSION, 6TH AVENUE CORNER MH DEL PILAR ST.  CALOOCAN CITY METRO MANILA",(02) 8330 1596/8961-3987
105,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,286 BLUMENTRITT ST. STA. CRUZ MANILA METRO MANILA,(02) 8711-4141
106,CHONG HUA HOSPITAL,"J LLORENTE ST., FUENTE OSMENA BLVD. BRGY. CAPITOL SITE CEBU CITY CEBU",(032) 253-5639
107,"CHRIST THE KING MEDICAL CENTER UNIHEALTH LAS PINAS, INC. ( FORMERLY CHRIST THE KING GENERAL HOSPITAL",130 REAL ST. BRGY. PAMPLONA I LAS PIÃ‘AS CITY METRO MANILA,(02) 873-1119 / 872-0636
108,CHRISTIAN GENERAL HOSPITAL,564 A. MABINI COR CRISOSTOMO F. DE SAN JUAN STS.  PAGSANJAN LAGUNA,(049) 501-8281
109,CLINICA GATCHALIAN & HOSPITAL,JT KANGLEON ST.  ORMOC CITY LEYTE,(053) 561-7937/(053) 255-2203
110,CLINICA ISAGUIRRE,VILLAFUERTE ST. CALINAN DAVAO CITY DAVAO DEL SUR,(082) 297-7687
111,CLINICA MANILA (PASIG BRANCH),"UNIT 158 SM SUPERCENTER, PASIG FRONTERA VERDE, C5 ROAD,  BRGY. UGONG PASIG CITY METRO MANILA",(02) 8696-7055 TO 57 LOC 103
112,CLINICA MANILA (MEGAMALL BRANCH),"2ND LEVEL BLDG A, SM MEGAMALL BRGY. WACK WACK MANDALUYONG CITY METRO MANILA",(02) 8661-9690/8635-3877
113,COMMCARE INC. (BETTERLIVING BRANCH),162 DOÃ‘A SOLEDAD AVE. BETTER LIVING SUBDIVISION PARAÃ‘AQUE METRO MANILA,(02) 8776-3319 / 8776-3329 / 8821-3276
114,COMMCARE INC. (MERVILLE BRANCH),"45 MONTCLAIR ST., MERVILLE PARK SUBD.  PARAÃ‘AQUE METRO MANILA",(02) 8828-6046 / 8828-6069 / 8821-3273
115,COMMONWEALTH HOSPITAL & MEDICAL CENTER,"NEOPOLITAN BUSINESS PARK, REGALADO HIGHWAY NOVALICHES QUEZON CITY METRO MANILA",(02) 8930-0000
116,ANDA RIVERVIEW MEDICAL CENTER INC. (FORMERLY COMMUNITY HEALTH & DEVELOPMENT COOP HOSPITAL),ANDA RIVERSIDE MAGALLANES INT 8000  DAVAO CITY DAVAO DEL SUR,(082) 221-0808/(082) 221-0852/(082) 226-3989
117,COMMUNITY HOSPITAL OF SAN PABLO CITY INC.,COLAGO AVE.  SAN PABLO CITY LAGUNA,(049) 562-1314/(049) 562-2053/(049) 562-7990
118,COOP LAB (ILIGAN DIAGNOSTIC CENTER AND BLOOD BANK COOPERATIVE),PALA-O  ILIGAN CITY LANAO DEL NORTE,(063) 223-5138
119,COTABATO MEDICAL SPECIALIST HOSPITAL,"QUEZON AVENUE, CLEMENTE M. ALIÃ‘O STREET ROSARY HEIGHTS 2 COTABATO CITY MAGUINDANAO",(064) 421-4146/(064) 421-4145/(064) 421-2339
120,CP VISION (FORMERLY VISION PLAZA INC),#40 SHOPWISE ARCADE ARANETA CENTER CUBAO QUEZON CITY METRO MANILA,(02) 911-2724
121,CUPSI CENTER FOR WOMENS HEALTH,"#2  B RODRIGUEZ STREET, FUENTE OSMENA  BLVD.  CEBU CITY CEBU",(032) 254-5063
122,CVGH REHABILITATION MEDICINE CLINIC,"CEBU VELEZ GENERAL HOSPITAL, F RAMOS ST.  CEBU CITY CEBU",(032) 253-1871
123,D FAMILY CARE CLINIC INC. (SAN JOSE DEL MONTE BRANCH),UNIT B UMEREZ BLDG. QUIRINO HIGHWAY BRGY. TUNGKONG MANGGA  SAN JOSE DEL MONTE C BULACAN,(02) 986-0275/(02) 461-1454/(02) 418-2685
124,"C FAMILY CARE LAGRO, INC.","KM 22 QUIRINO HIGHWAY, LAGRO FAIRVIEW QUEZON CITY METRO MANILA",(02) 8994-2213/8461-1454
125,D FAMILY CARE CLINIC INC. (NOVALICHES BRANCH),216 GEN. LUIS ST. NOVALICHES QUEZON CITY METRO MANILA,(02) 3418-6884
126,DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL,MAYOMBO DISTRICT  DAGUPAN CITY PANGASINAN,(075) 522-7629 / 515-7744 / 522-0811
127,DANIEL O MERCADO MEDICAL CENTER,01 PRESIDENT LAUREL HIGHWAY  TANAUAN CITY BATANGAS,(043) 778-1810
128,ADVENTIST HOSPITAL DAVAO,KM. 7 MC ARTHUR HIGHWAY BRGY. BANGKAL DAVAO CITY DAVAO DEL SUR,(082) 298-1692
129,"DAVAO DOCTORS HOSPITAL (CLINICA HILARIO), INC.",118 E. QUIRINO AVE.  DAVAO CITY DAVAO DEL SUR,(082) 227-1927/(082) 226-4770
130,DAVAO MEDICAL SCHOOL FOUNDATION HOSPITAL,MEDICAL SCHOOL DRIVE BRGY. BAJADA DAVAO CITY DAVAO DEL SUR,(082) 227-9330
131,DAVAO REGIONAL MEDICAL CENTER (FORMERLY DAVAO REGIONAL HOSPITAL),"KALANTAS STREET, APOKON  TAGUM CITY DAVAO DEL NORTE",(084) 400-3347/(084) 218-2823/(084) 400-3199
132,DE JESUS GENERAL HOSPITAL,5 BENIGNO S AQUINO AVE. BRGY. BAGONG NAYON BALIUAG BULACAN,(044) 766-7008 / (044) 766-7040 / (0919) 647-2672
133,"THE MEGACLINIC, INC. (KERALTY MEGACLINIC)",UNIT 552 A BLDG A SM MEGAMALL ORTIGAS CENTER MANDALUYONG CITY 1550  BRGY. WACK WACK MANDALUYONG CITY METRO MANILA,(0998) 867-2141; (0919) 081-9115
134,DE VERA MEDICAL CENTER INC. (FORMERLY DE VERAâ€™S GENERAL HOSPITAL & REHAB CENTER),"CITY ROAD, CALAO EAST  SANTIAGO ISABELA PROVINCE",(078) 305-2787/(078) 305-2802
135,DELA SALLE UNIVERSITY MEDICAL CENTER DIALYSIS DEPARTMENT,GOVERNOR D. MANGUBAT AVENUE  DASMARIÃ‘AS CITY CAVITE,(046) 416-0226
136,DE LA SALLE UNIVERSITY MEDICAL CENTER,GOV. D. MANGUBAT AVENUE  DASMARIÃ‘AS CAVITE,(046) 481-8000 / 416-0226 / 416-0310 / (02) 8988-3
137,DELOS SANTOS DIAGNOSTIC IMAGING CENTER,201 E RODRIGUEZ BLVD  QUEZON CITY METRO MANILA,(02) 722-0773
138,"DE LOS SANTOS MEDICAL CENTER, INC",201 E RODRIGUEZ BLVD  QUEZON CITY METRO MANILA,(02) 8893-5762
139,DIGOS DOCTORS HOSPITAL INC,MCARTHUR HIGHWAY  DIGOS CITY DAVAO DEL SUR,(082) 553-3583/(082) 553-3517
140,DIVINE LOVE GENERAL HOSPITAL,SINAGTALA  LIPA CITY BATANGAS,(043) 753-1338
141,DIVINE MERCY HOSPITAL (LAGUNA BRANCH),"LOTS 9 & 10, AMANTE SUBDIVISION BRGY NUEVA  SAN PEDRO LAGUNA",(02) 8808-3392 TO 93
142,DIVINE WORD HOSPITAL,AVENIDA VETERANOS  TACLOBAN CITY LEYTE,(053) 321-7003/(053) 321-2309
143,DIZON MEDICAL CLINIC & HOSPITAL,J.P. LAUREL STREET  KIDAPAWAN CITY COTABATO,(064) 288-1636
144,DOCTORSâ€™ ALLEY MEDICAL & DIAGNOSTIC CENTER,"LEVEL 4 ROBINSONS PLACE METRO EAST, MARCOS HIGHWAY DELA PAZ PASIG CITY METRO MANILA",(02) 8647-5250 (CONSULTATION ONLY)
145,DOMINICAN HOSPITAL INC.,QUEZON AVE. ZONE 1  DIGOS CITY DAVAO DEL SUR,(082) 553-6925
146,DOMOSOYLO MEDICAL CLINIC,OSMENA STREET POLOYAPOY TOLEDO CITY CEBU,(032) 322-6002
147,DON CARLOS DOCTORS HOSPITAL,E. AGUINALDO ST. BRGY. POBLACION DON CARLOS BUKIDNON,(088) 226-2476
148,DR. AMANDO COPE MEMORIAL HOSPITAL INC.,RUIVIVAR ST. BRGY. TAYHI TABACO CITY ALBAY,(052) 558-2090 / (0917) 550-0834
149,DR. AMANDO L. GARCIA MEDICAL CENTER INC.,#648 RIZAL ST.  ANGELES CITY PAMPANGA,(045) 458-0359/(045) 458-0364/(045) 888-2571
150,DR. ANTONIO A. RANADA CLINIC AND HOSPITAL,# 7 A. S. HERNANDO AVENUE  LAOAG CITY ILOCOS NORTE,(077) 770-5172
151,DR. FE DEL MUNDO MEDICAL CENTER,11 BANAWE ST. BRGY. DONA JOSEFA QUEZON CITY METRO MANILA,(02) 8712-0845/8731-6454
152,DR. IGNACIO M. CORTES GENERAL HOSPITAL,S B CABAHUG STREET IBABAO MANDAUE CITY CEBU,(032) 346-7850/(032) 346-7859/(032) 345-1486
153,DR JESUS C DELGADO MEMORIAL HOSPITAL,7 KAMUNING ROAD BRGY. DILIMAN QUEZON CITY METRO MANILA,(02) 8924-4051 TO 64
154,DR. LUIS P. MALALUAN HOSPITAL,"085 E. PEREZ STREET, POBLACION  KIDAPAWAN CITY COTABATO",(064) 288-1836/(064) 278-3521
155,DR. P.V. SEARES SR. MEMORIAL HOSPITAL,PENARUBIA ST.  BANGUED ABRA,(074) 752-8350/(074) 752-7695
